Provinsi,Gini Rasio Semester 1
ACEH,0.294
SUMATERA UTARA,0.297
SUMATERA BARAT,0.283
RIAU,0.307
JAMBI,0.321
SUMATERA SELATAN,0.333
BENGKULU,0.342
LAMPUNG,0.302
KEP. BANGKA BELITUNG,0.244
KEP. RIAU,0.349
DKI JAKARTA,0.423
JAWA BARAT,0.421
JAWA TENGAH,0.367
DI YOGYAKARTA,0.435
JAWA TIMUR,0.372
BANTEN,0.353
BALI,0.361
NUSA TENGGARA BARAT,0.361
NUSA TENGGARA TIMUR,0.316
KALIMANTAN BARAT,0.31
KALIMANTAN TENGAH,0.301
KALIMANTAN SELATAN,0.302
KALIMANTAN TIMUR,0.321
KALIMANTAN UTARA,0.264
SULAWESI UTARA,0.36
SULAWESI TENGAH,0.301
SULAWESI SELATAN,0.363
SULAWESI TENGGARA,0.37
GORONTALO,0.414
SULAWESI BARAT,0.354
MALUKU,0.282
MALUKU UTARA,0.316
PAPUA BARAT,0.389
PAPUA,0.362
